FAMÍLIA;NOME CIENTÍFICO;NOME POPULAR
Myrtaceae ;Eucalyptus robusta ;Eucalipto robusta
Myrtaceae ;Eucalyptus saligna ;Eucalipto saligna
Myrtaceae ;Eucalyptus urograndis ;Eucalipto urograndis
Myrtaceae ;Eucalyptus urophylla ;Eucalipto urofila
Myrtaceae ;Eugenia  myrcianthes  ;Pessego-do-mato
Myrtaceae ;Eugenia brasiliensis ;Grumixama
Myrtaceae ;Eugenia florida ;Pitanga-preta
Myrtaceae ;Eugenia francavilleana ;Guamirim
Myrtaceae ;Eugenia involucrata ;Cereja-do-rio-grande
Myrtaceae ;Eugenia leitonii ;Araçá-piranga
Myrtaceae ;Eugenia neoverrucosa ;Guamirim-ripa
Myrtaceae ;Eugenia pyriformis ;Uvaia
Myrtaceae ;Eugenia uniflora ;Pitanga
Myrtaceae ;Myrcianthes pungens ;Guabijú
Myrtaceae ;Myrciaria glazioviana ;Cabeludinha
Myrtaceae ;Plinia cauliflora ;Jaboticabeira
Myrtaceae ;Plinia edulis ;Cambuca
Myrtaceae ;Plinia rivularis ;Cambuca-peixoto
Myrtaceae ;Psidium cattleyanum ;Araçá-amarelo
Myrtaceae ;Psidium guajava ;Goiabeira
Myrtaceae ;Psidium myrtoides ;Araçá-roxo
Myrtaceae ;Psidium rufum ;Araça-cagão
Nyctaginaceae ;Guapira opposita ;Flor-de-pérola
Peraceae ;Pera glabrata ;Tabocuva
Phyllanthaceae ;Hieronyma alchorneoides ;Aracurana-da-serra
Phytolaccaceae ;Gallesia integrifolia ;Pau-d'alho
Phytolaccaceae ;Phytolacca dioica ;Cebolão
Phytolaccaceae ;Seguieria langsdorfii ;Agulheiro
Pinaceae ;Pinus caribaea var. caribaeae;Pinus caribéia var. caribéia
Pinaceae ;Pinus caribaea var. hondurensis;Pinus caribéia var. hondurensis
Pinaceae ;Pinus elliottii var. elliottii;Pinus elioti var. elioti
Pinaceae ;Pinus taeda ;Pinus teda
Polygonaceae ;Ruprechtia laxiflora ;Marmeleiro
Polygonaceae ;Triplaris americana ;Pau-formiga
Primulaceae;Myrsine gardneriana;Capororoca-branca
Primulaceae ;Myrsine coriacea ;Capororoca-ferrugem
Primulaceae ;Myrsine umbellata ;Capororoca-grande
Proteaceae ;Grevillea robusta ;Grevílea 
Rhamnaceae ;Colubrina glandulosa ;Sobrasil
Rhamnaceae ;Rhamnidium elaeocarpum ;Saguaraji-amarelo
Rosaceae ;Prunus  campanulata ;Cerejeira
Rosaceae ;Prunus myrtifolia ;Pessegueiro-bravo
Rubiaceae ;Coutarea hexandra ;Quina
Rubiaceae ;Genipa americana ;Jenipapo
Rubiaceae ;Posoqueria acutifolia ;Laranja-de-macaco
Rubiaceae ;Posoqueria latifolia ;Baga-de-macaco
Rubiaceae ;Psychotria nuda ;Abrico
Rubiaceae ;Simira sampaioana ;Maiate
Ruraceae ;Poncirus trifoliata ;Trifoliata
Rutaceae ;Balfourodendron riedelianum ;Pau-marfim
Rutaceae ;Dictyoloma vandellianum ;Tingui-preto
Rutaceae ;Esenbeckia febrifuga ;Mamoninha-do-mato
Rutaceae ;Esenbeckia grandiflora ;Guaxupita
Rutaceae ;Esenbeckia leiocarpa ;Guarantã
Rutaceae ;Helietta appiculata ;Canela-de-veado
Rutaceae ;Zanthoxylum caribaeum ;Mamica-fedorenta
Rutaceae ;Zanthoxylum monogynum ;Juvá
Rutaceae ;Zanthoxylum rhoifolium ;Mamica-de-cadela
Rutaceae ;Zanthoxylum riedelianum ;Mamica-de-porca
Salicaceae ;Casearia gossypiosperma ;Espeteiro
Salicaceae ;Casearia sylvestris ;Guaçatonga
Sapindaceae ;Allophyllus edulis ;Fruta-de-jacú
Sapindaceae ;Cupania vernalis ;Arco-de-peneira
Sapindaceae ;Diatenopteryx sorbifolia ;Correeiro
Sapindaceae ;Dodonea viscosa ;Vassoura-vermelha
Sapindaceae ;Matayba elaeagnoides ;Camboatã
Sapindaceae ;Sapindus  saponaria ;Sabão-de-soldado
Sapotaceae ;Chrysophyllum gonocarpum ;Aguaí-da-serra
Sapotaceae ;Pouteria torta ;Guapeva
Siparunaceae ;Siparuna guianensis ;Siparuna
Solanaceae ;Solanum erianthum ;Couvetinga
Solanaceae ;Solanum granuloso-leprosum ;Gravitinga
Solanaceae ;Solanum lycocarpum ;Lobeira
Solanaceae ;Solanum pseudoquina ;Quina-de-são-pauo
Styracaceae ;Styrax pohlii ;Benjoeiro
Urticaceae ;Cecropia hololeuca ;Embaúba-prateada
Urticaceae ;Cecropia pachystachya ;Embaúba-branca
Urticaceae ;Cecropia sciadophylla ;Embaúba
Verbenaceae ;Aloysia virgata ;Lixeira
Verbenaceae ;Citharexylum myrianthum ;Pau-viola
Verbenaceae ;Citharexylum solanaceum ;Tarumã-branco
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
